Location,Partic. No.,$ cat hashbang,cp,grep,str[1:-1],Func in Python,Except in Python,git merge,SVN version,git checkout,SQL,Prog.  Join,Database Design,Python Statements,Lang struct Python,Blocks code Python,Greeting Python,Average Python (3),Average Python (set),Small program Python,Complex Prob. Python,Modular Python,Obj. oriented Para.,Pre-writ Func.,Cannot Complete,I can debug,I can comprehend,Can't complete proj w/o help,Can't complete proj w/o manual,Can complete w/time,Can complete with buit-in hlp,Can overcome prob.,Suitable strategy,Can't complete proj w/o call for help,Mentally trace through,Re-write confusing portion,Can concentrate,Motivate myself,Can wrie for others to comp,Shell Train,Python Train,Subversion Train,SQL Train,OVERALL,Meet Needs,Did you Learn,Understanding,Recommend,Age,Adacemic Status,Gender,Ethnicity,PostUnderstanding,PostPythonCoding,PreAbility,PreUnderstanding,PrePythonCoding
MSU,16,4,4,3,3,3,2,4,3,4,3,3,3,3,3,3,4,4,4,3,3,3,2,3,2,3,3,2,3,3,2,3,2,2,2,3,3,2,3,4,5,4,4,5,D,Y,Y,Y,26,B,A,C,=AVERAGE(C17:N17),"=SUM(O17:Y17,(5-Z17),AA17:AB17,(5-AC17),(5-AD17),AE17:AH17,(5-AI17),AJ17:AL17,AN17)/25",1.6666666667,2.5,2.16
MSU,17,4,4,3,2,4,2,4,3,3,4,4,3,3,3,3,4,4,4,4,3,3,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,3,3,5,5,4,5,5,D,Y,Y,Y,29,D,A,,=AVERAGE(C18:N18),"=SUM(O18:Y18,(5-Z18),AA18:AB18,(5-AC18),(5-AD18),AE18:AH18,(5-AI18),AJ18:AL18,AN18)/25",1.1666666667,1.3333333333,2
MSU,18,4,4,4,4,4,3,4,3,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,3,4,4,4,4,4,C,N,N,Y,61,D,A,C,=AVERAGE(C19:N19),"=SUM(O19:Y19,(5-Z19),AA19:AB19,(5-AC19),(5-AD19),AE19:AH19,(5-AI19),AJ19:AL19,AN19)/25",1.6666666667,2.8,1.76
MSU,19,4,4,3,3,3,2,4,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,5,5,4,5,5,D,Y,Y,Y,23,B,A,C,=AVERAGE(C20:N20),"=SUM(O20:Y20,(5-Z20),AA20:AB20,(5-AC20),(5-AD20),AE20:AH20,(5-AI20),AJ20:AL20,AN20)/25",1.5,2,2.76
MSU,20,4,4,4,3,3,2,4,2,4,4,3,3,3,3,3,3,3,3,3,2,2,4,3,1,4,3,1,3,4,3,3,3,1,3,3,3,3,3,4,4,3,3,4,D,Y,Y,Y,33,B,A,C,=AVERAGE(C21:N21),"=SUM(O21:Y21,(5-Z21),AA21:AB21,(5-AC21),(5-AD21),AE21:AH21,(5-AI21),AJ21:AL21,AN21)/25",1.5,1.5833333333,2.6
MSU,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A,C,,,1.5,2.1818181818,2.04
MSU,22,2,4,3,2,3,3,4,2,4,4,2,3,3,3,3,3,3,3,2,2,2,3,3,4,1,2,3,3,3,3,2,3,4,3,2,2,3,3,,4,,4,4,C,Y,Y,Y,21,A,B,C,=AVERAGE(C23:N23),"=SUM(O23:Y23,(5-Z23),AA23:AB23,(5-AC23),(5-AD23),AE23:AH23,(5-AI23),AJ23:AL23,AN23)/25",1.6666666667,1.1666666667,1.2
MSU,23,4,4,4,4,4,4,4,2,4,4,2,3,4,4,4,4,4,4,4,3,4,4,4,2,3,3,2,3,4,3,3,3,2,3,3,3,2,3,3,3,,4,5,B,N,N,Y,23,B,A,C,=AVERAGE(C24:N24),"=SUM(O24:Y24,(5-Z24),AA24:AB24,(5-AC24),(5-AD24),AE24:AH24,(5-AI24),AJ24:AL24,AN24)/25",2.8333333333,3.25,3.2
MSU,24,4,4,4,4,3,3,4,2.5,4,4,4,3,3,2.5,3,4,4,4,3,2,2,2,3,3,2,3,2,4,3,2,3,2,3,3,2,2,2,3,4,4,4,3,5,C,Y,Y,Y,27,D,A,B,=AVERAGE(C25:N25),"=SUM(O25:Y25,(5-Z25),AA25:AB25,(5-AC25),(5-AD25),AE25:AH25,(5-AI25),AJ25:AL25,AN25)/25",1.3333333333,2.5,2.22
MSU,25,3,4,3,2,3,2,3,1,4,3,4,3,3,2,3,3,3,3,2,2,3,1,3,2,2,2,3,2,3,3,3,2,3,3,2,2,1,3,5,4,4,4,4,C,Y,N,Y,23,B,A,C,=AVERAGE(C26:N26),"=SUM(O26:Y26,(5-Z26),AA26:AB26,(5-AC26),(5-AD26),AE26:AH26,(5-AI26),AJ26:AL26,AN26)/25",1.6666666667,1.9166666667,2.16
MSU,26,4,4,1,4,4,2,4,4,4,4,4,3,4,3,3,4,4,4,3,3,3,2,2,3,2,3,2,4,4,4,4,4,2,3,3,4,3,3,5,5,4,5,5,C,Y,Y,Y,24,B,B,C,=AVERAGE(C27:N27),"=SUM(O27:Y27,(5-Z27),AA27:AB27,(5-AC27),(5-AD27),AE27:AH27,(5-AI27),AJ27:AL27,AN27)/25",1.1666666667,1,1.72
MSU,27,4,4,4,2,4,2,4,4,4,4,4,4,3,3,3,4,4,4,4,2,3,4,4,1,4,3,1,4,4,2,4,4,1,3,3,4,3,4,5,2,5,4,4,D,Y,Y,Y,27,B,A,C,=AVERAGE(C28:N28),"=SUM(O28:Y28,(5-Z28),AA28:AB28,(5-AC28),(5-AD28),AE28:AH28,(5-AI28),AJ28:AL28,AN28)/25",2.6666666667,3.4166666667,3
MSU,28,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,3,4,3,4,4,1,4,4,3,2,4,5,4,5,4,5,D,Y,Y,Y,25,B,A,C,=AVERAGE(C29:N29),"=SUM(O29:Y29,(5-Z29),AA29:AB29,(5-AC29),(5-AD29),AE29:AH29,(5-AI29),AJ29:AL29,AN29)/25",3.1666666667,3.3333333333,3.68
